,AR,a,axf,alpha,R
top,8056,True,False,True,False
bottom,8130,True,False,False,False
top,8226,True,False,False,False
bottom,10099,True,True,False,False
top,10099,False,False,True,False
top,10144,False,True,False,False
top,10391,True,False,False,False
top,10547,True,False,True,False
bottom,11007,False,True,False,False
top,8052,False,True,False,False
top,8404,True,False,False,True
top,8524,False,False,False,True
bottom,8552,True,False,False,False
bottom,8649,True,True,False,False
bottom,8699,True,False,False,False
