,first_mag_date,AR,fint
0,b'12-Jun-1997 22:28:05',8052,0.4233011984153559
0,b'30-Apr-1998 16:03:04',8214,0.4295468801309867
0,b'7-Dec-1998 17:36:04',8407,0.3133754874284489
0,b'16-Mar-1999 12:48:02',8488,0.4816180225257917
0,b'26-May-1999 11:12:03',8552,0.4012820131583457
0,b'10-Jul-1999 07:59:02',8628,0.4950766728640218
0,b'7-Sep-1999 23:59:02',8690,0.3341477087038028
0,b'30-Oct-1999 16:00:03',8749,0.4615769339690806
0,b'19-Apr-2000 23:59:03',8968,0.3766947744137094
0,b'26-Aug-2000 23:59:01',9140,0.3418765358467195
0,b'21-Sep-2000 04:47:01',9170,0.3614743114371811
0,b'3-Mar-2001 07:59:01',9368,0.4000107502404669
0,b'21-Jun-2001 08:00:01',9512,0.4284391693789048
0,b'8-Jul-2001 01:36:01',9531,0.3633251583766025
0,b'2-Aug-2001 08:03:01',9563,0.3282375189908158
0,b'10-Oct-2001 01:39:02',9660,0.3851813121033116
0,b'15-Mar-2002 06:24:01',9873,0.4673462777741867
0,b'27-Mar-2002 20:48:01',9884,0.4561226434885894
0,b'6-Nov-2002 15:59:01',10188,0.3574103122435506
0,b'13-Dec-2002 19:12:00',10226,0.4123587524220771
0,b'28-Sep-2007 00:03:02',10971,0.384096340680101
